company,country,segment,website,source_url,fit_score,fit_reason,pain_point_brazil,suggested_contact_department,suggested_message_type,status,next_action,notes
Breas Medical,Sweden,Ventilação mecânica / Home care devices,breas.com,https://www.tipranks.com/news/private-companies/breas-medical-inc-americas-highlights-hospitalar-2026-push-and-home-ventilation-strategy,ALTO,Empresa sueca com certificação MDSAP Brasil. Expansão ativa no mercado brasileiro. Parceiro local Lumiar Health Care. Produto regulado ANVISA necessário.,Distribuição / ANVISA / Market Access para ventiladores Vivo 45LS e Vivo 3,Business Development / Medical Affairs,Email EN + LinkedIn,não contatado,Aguardar aprovação manual antes de contato,Presente no Hospitalar 2026 com workshop no dia 20/05. Stand próprio. Fonte verificada.
Cormay Diagnostics (PZ Cormay),Poland,Diagnóstico in vitro (IVD) - reagentes e analisadores,cormaydiagnostics.com,https://cormaydiagnostics.com/about-us/news/lets-meet-at-hospitalar-sao-paulo-2026,ALTO,Empresa polonesa listada em bolsa. Booth H-200 no pavilhão polonês (Stand Nacional Polonês). Já vende no Brasil - pode precisar de inteligência regulatória/ANVISA/distribuição local.,ANVISA IVD / distribuição local / inteligência de mercado diagnóstico,Business Development / Regulatory Affairs,Email EN + LinkedIn,não contatado,Aguardar aprovação manual antes de contato,Participação confirmada com stand H-200 / Avenida G. Fonte: site oficial cormaydiagnostics.com verificado.
Acro Biotech,USA,Diagnóstico rápido (rapid test - IVD),acrobioinc.com,https://sourcehere.com/exhibit/4059,ALTO,Fabricante americano de testes rápidos diagnósticos. Sem presença clara no Brasil. Produto ANVISA IVD necessário. Mercado brasileiro crescendo em diagnóstico ponto de cuidado.,ANVISA IVD / distribuição / market access,Business Development,Email EN + LinkedIn,não contatado,Aguardar aprovação manual antes de contato,Confirmado no USA Partnership Pavilion Hospitalar 2026. Fonte: sourcehere.com (diretório oficial Kallman Worldwide).
Endiatx,USA,Medtech / Robótica cirúrgica / Cápsula endoscópica robótica,endiatx.com,https://sourcehere.com/exhibit/4059,ALTO,Startup americana de cápsula endoscópica robótica. Produto inovador - ANVISA regulação necessária. Sem presença no Brasil. Alto potencial de parceria de entrada no mercado.,ANVISA / Regulatory / Entrada no mercado brasileiro,Business Development / CEO,Email EN + LinkedIn,não contatado,Aguardar aprovação manual antes de contato,Confirmado no USA Partnership Pavilion. Fonte: sourcehere.com verificado.
Vave Health Inc,USA,Diagnóstico / Ultrassom portátil wireless,vavehealth.com,https://sourcehere.com/exhibit/4059,ALTO,Startup americana de ultrassom portátil wireless. Produto inovador sem presença clara no Brasil. ANVISA Classe II/III necessário. Alta demanda hospitalar brasileira.,ANVISA registro / distribuição / market access,Business Development / CEO,Email EN + LinkedIn,não contatado,Aguardar aprovação manual antes de contato,Confirmado no USA Partnership Pavilion. Fonte: sourcehere.com verificado.
Lodox NA LLC,USA,Radiologia / Full-body X-ray scanning,lodox.com,https://sourcehere.com/exhibit/4059,ALTO,Sistema de escaneamento corporal total por raio-X. Produto de alta tecnologia para emergências e forense. Sem presença confirmada no Brasil. ANVISA Classe III.,ANVISA / distribuição hospitalar / parceiro local,Business Development,Email EN,não contatado,Aguardar aprovação manual antes de contato,Confirmado no USA Partnership Pavilion. Fonte: sourcehere.com verificado.
Medicatech USA,USA,Radiologia digital / Sistemas PACS / C-Arm móvel,medicatech.com,https://sourcehere.com/exhibit/4059,ALTO,Fabricante americano de radiologia digital e software PACS. Alta demanda em hospitais brasileiros. ANVISA registro necessário. Potencial de distribuição.,ANVISA / distribuição / market access,Business Development / Sales LATAM,Email EN + LinkedIn,não contatado,Aguardar aprovação manual antes de contato,Confirmado no USA Partnership Pavilion. Fonte: sourcehere.com verificado.
Norav Medical,USA,Cardiologia / ECG / Holter monitoring,norav.com,https://sourcehere.com/exhibit/4059,ALTO,Empresa americana de dispositivos de ECG e monitoramento cardíaco. Produto regulado ANVISA. Alta demanda cardiovascular no Brasil.,ANVISA / distribuição / market access,Business Development,Email EN,não contatado,Aguardar aprovação manual antes de contato,Confirmado no USA Partnership Pavilion. Fonte: sourcehere.com verificado.
Vasomedical Inc,USA,Cardiovascular / Diagnóstico vascular,vasomedical.com,https://sourcehere.com/exhibit/4059,MEDIO,Empresa americana de diagnóstico cardiovascular e vascular. Operando desde 1995. Pode precisar de parceiro local no Brasil para distribuição e ANVISA.,ANVISA / distribuição,Business Development,Email EN,não contatado,Aguardar aprovação manual antes de contato,Confirmado no USA Partnership Pavilion. Fonte: sourcehere.com verificado.
ARTFX Medical,USA,Implantes espinhais e trauma / Instrumentos cirúrgicos,artfxmedical.com,https://sourcehere.com/exhibit/4059,MEDIO,Fabricante americano de implantes espinhais e ortopédicos. Alta demanda em hospitais brasileiros. ANVISA Classe III - complexo mas alto valor.,ANVISA Classe III / distribuição ortopédica,Business Development / Regulatory,Email EN,não contatado,Aguardar aprovação manual antes de contato,Confirmado no USA Partnership Pavilion. Fonte: sourcehere.com verificado.
Rapid Viral Detection Systems (RVDS),USA,Diagnóstico / Biópsia líquida / Detecção viral e câncer,não encontrado,https://sourcehere.com/exhibit/4059,ALTO,Empresa americana de detecção de doenças infecciosas e câncer por biópsia líquida. Tecnologia inovadora. ANVISA IVD. Alto potencial oncologia brasileira.,ANVISA IVD / parceiro diagnóstico / oncologia,Business Development / CEO,Email EN,não contatado,Aguardar aprovação manual antes de contato,Confirmado no USA Partnership Pavilion. Site oficial não encontrado - verificar antes de contato. Fonte: sourcehere.com.
Nasco Healthcare,USA,Simulação médica / Treinamento hospitalar,nasco.com/healthcare,https://sourcehere.com/exhibit/4059,MEDIO,Fabricante americano de simuladores médicos. Alta demanda em escolas médicas e hospitais brasileiros para treinamento. ANVISA aplicável.,Distribuição educacional / hospitais / universidades,Sales / Business Development,Email EN,não contatado,Aguardar aprovação manual antes de contato,Confirmado no USA Partnership Pavilion. Fonte: sourcehere.com verificado.
Grupo Vera Rosas,Brasil,Consultoria regulatória ANVISA / Acesso ao mercado,não encontrado,https://www.saudebusiness.com/eventos-3/feira-hospitalar-o-maior-evento-de-inovacao-e-gestao-na-area-da-saude/desempenho-clinico-avanca-na-hospitalar-2026-com-tecnicas-equipamentos-e-diagnosticos-inovadores/,ALTO,Empresa brasileira especializada em acesso ANVISA para empresas internacionais. Presença em 40+ países. Perfil ideal de parceiro canal para GHA - complementar sem concorrência direta.,Parceiro canal para empresas internacionais - revenue share / co-marketing,Business Development / CEO,Email PT + LinkedIn,não contatado,Aguardar aprovação manual antes de contato,Mencionada como expositora no artigo Saúde Business. Fonte verificada. Atuação em mais de 40 países.
Biosat,Brasil,Dispositivos médicos cirúrgicos / Ginecologia / Urologia,não encontrado,https://www.saudebusiness.com/eventos-3/feira-hospitalar-o-maior-evento-de-inovacao-e-gestao-na-area-da-saude/desempenho-clinico-avanca-na-hospitalar-2026-com-tecnicas-equipamentos-e-diagnosticos-inovadores/,MEDIO,Fabricante brasileiro de dispositivos cirúrgicos. Pode precisar de inteligência de mercado sobre importação de concorrentes e pricing ANVISA.,Inteligência de mercado / PharmaIntelBR plataforma,Business Development,Email PT,não contatado,Aguardar aprovação manual antes de contato,Mencionada no artigo Saúde Business. Fonte verificada.
Biotecno,Brasil,Transplante / Preservação de órgãos / Tecnologia cirúrgica,não encontrado,https://www.saudebusiness.com/eventos-3/feira-hospitalar-o-maior-evento-de-inovacao-e-gestao-na-area-da-saude/desempenho-clinico-avanca-na-hospitalar-2026-com-tecnicas-equipamentos-e-diagnosticos-inovadores/,MEDIO,Fabricante brasileiro de sistema Taura para preservação de órgãos em transplantes. Produto inovador que pode estar explorando exportação ou parcerias internacionais.,Inteligência regulatória / exportação / market access,Business Development,Email PT,não contatado,Aguardar aprovação manual antes de contato,Mencionada no artigo Saúde Business. Fonte verificada.
Cloudia,Brasil,HealthTech / IA / Automação de atendimento hospitalar,não encontrado,https://www.saudebusiness.com/eventos-3/feira-hospitalar-o-maior-evento-de-inovacao-e-gestao-na-area-da-saude/desempenho-clinico-avanca-na-hospitalar-2026-com-tecnicas-equipamentos-e-diagnosticos-inovadores/,MEDIO,Startup brasileira de automação hospitalar com IA via WhatsApp. Potencial de parceria tecnológica com PharmaIntelBR.,Parceria tecnológica / integração de dados hospitalares,CTO / Business Development,Email PT,não contatado,Aguardar aprovação manual antes de contato,Mencionada no artigo Saúde Business. Fonte verificada.
Totvs,Brasil,Software de gestão hospitalar / ERP / IA em saúde,totvs.com,https://www.saudebusiness.com/eventos-3/feira-hospitalar-o-maior-evento-de-inovacao-e-gestao-na-area-da-saude/desempenho-clinico-avanca-na-hospitalar-2026-com-tecnicas-equipamentos-e-diagnosticos-inovadores/,MEDIO,Maior empresa de software de gestão para saúde no Brasil. Listada na B3. Possível parceria de integração de dados com PharmaIntelBR para hospitais.,Parceria de dados / integração ERP hospitalar,Business Development / Partnerships,Email PT,não contatado,Aguardar aprovação manual antes de contato,Mencionada no artigo Saúde Business. Fonte verificada. Empresa listada B3.
QLS Quality Life Sciences,Brasil,Consultoria regulatória / Registro de produtos,não encontrado,https://www.saudebusiness.com/eventos-3/feira-hospitalar-o-maior-evento-de-inovacao-e-gestao-na-area-da-saude/desempenho-clinico-avanca-na-hospitalar-2026-com-tecnicas-equipamentos-e-diagnosticos-inovadores/,ALTO,Empresa brasileira de suporte regulatório e registro de produtos. Perfil complementar ao GHA. Possível parceiro canal para empresas internacionais.,Parceiro canal / co-referência de clientes,Business Development,Email PT + LinkedIn,não contatado,Aguardar aprovação manual antes de contato,Mencionada no artigo Saúde Business. Fonte verificada.
Swisslog Healthcare,Switzerland,Automação farmácia hospitalar / Logística de medicamentos,swisslog.com,https://www.saudebusiness.com/eventos-3/feira-hospitalar-o-maior-evento-de-inovacao-e-gestao-na-area-da-saude/seguranca-do-paciente-e-eficiencia-guiam-lancamentos-de-15-marcas-na-hospitalar-2026/,ALTO,Empresa suíça de automação de farmácia hospitalar. Clientes são hospitais que compram e gerenciam medicamentos. Fit direto com PharmaIntelBR para inteligência de preços e fornecedores.,Inteligência de mercado farmacêutico / PharmaIntelBR para clientes hospitalares,Business Development / Key Accounts,Email EN + LinkedIn,não contatado,Aguardar aprovação manual antes de contato,Confirmada no artigo Saúde Business com lançamento na Hospitalar 2026. Fonte verificada.
Phelcom Technologies,Brasil,Medtech / Diagnóstico ocular / IA portátil,phelcom.com,https://www.saudebusiness.com/eventos-3/feira-hospitalar-o-maior-evento-de-inovacao-e-gestao-na-area-da-saude/seguranca-do-paciente-e-eficiencia-guiam-lancamentos-de-15-marcas-na-hospitalar-2026/,MEDIO,Empresa brasileira de diagnóstico ocular portátil com IA. Aprovação FDA recente (K251353 - jan/2026). Expansão internacional em andamento. Pode precisar de suporte regulatório internacional.,Suporte regulatório internacional / exportação,Business Development / International,Email PT + LinkedIn,não contatado,Aguardar aprovação manual antes de contato,Confirmada. FDA clearance K251353 verificado no accessdata.fda.gov. Empresa São Carlos/SP.
